ID|PARENT_ID|S_NAME|IS_ACTIVE|without_cot|allowed_site
"316"|"10508"|"Туберкулезное легочное отделение"|"false"|"false"|"false"
"315"|"10508"|"Травмы глаза отделение"|"false"|"false"|"false"
"314"|"10508"|"Травматолого-ортопедическое отделение для детей"|"false"|"false"|"false"
"313"|"10508"|"Травматолого-ортопедическое отделение для взрослых и детей"|"false"|"false"|"false"
"312"|"10508"|"Травматолого-ортопедическое отделение для взрослых"|"false"|"false"|"false"
"311"|"10508"|"Травматологическое отделение для детей"|"false"|"false"|"false"
"310"|"10508"|"Травматологическое отделение для взрослых и детей"|"false"|"false"|"false"
"309"|"10508"|"Травматологическое отделение для взрослых"|"false"|"false"|"false"
"308"|"10508"|"Травматолога-ортопеда кабинет восстановительного лечения"|"false"|"false"|"false"
"307"|"10508"|"Травматолога-ортопеда кабинет врача"|"false"|"false"|"false"
"306"|"10508"|"Торакальной хирургии отделение для детей"|"false"|"false"|"false"
"305"|"10508"|"Торакальной хиругии отделение"|"false"|"false"|"false"
"304"|"10508"|"Торакального хирурга кабинет врача"|"false"|"false"|"false"
"303"|"10508"|"Терапевтическое отделение"|"false"|"false"|"false"
"302"|"10508"|"Терапевта подросткового кабинета врача"|"false"|"false"|"false"
"301"|"2000"|"Терапевта кабинет врача"|"true"|"true"|"false"
"300"|"10508"|"Сурдологопедический кабинет"|"false"|"false"|"false"
"299"|"10508"|"Сурдологических занятий кабинет"|"false"|"false"|"false"
"298"|"10508"|"Сурдолога кабинет"|"false"|"false"|"false"
"297"|"10508"|"Судебно-психиатрической экспертизы отеделение"|"false"|"false"|"false"
"296"|"10508"|"Судебно-медицинской экспертизы отделение"|"false"|"false"|"false"
"295"|"10508"|"Судебно-медицинской экспертизы кабинет"|"false"|"false"|"false"
"294"|"10508"|"Судебно-медицинское освидетельствование живых лиц отделение"|"false"|"false"|"false"
"293"|"10508"|"Судебно-медицинская лаборатория"|"false"|"false"|"false"
"292"|"10508"|"Стоматологическое отделение для детей"|"false"|"false"|"false"
"291"|"10508"|"Стоматологическое отделение для взрослых"|"false"|"false"|"false"
"290"|"10508"|"Стоматологическое отделение"|"false"|"false"|"false"
"289"|"10508"|"Стоматологический кабинет"|"false"|"false"|"false"
"288"|"10508"|"Стоматологическая установка передвижная"|"false"|"false"|"false"
"287"|"10508"|"Стоматолога-хируга кабинет врача"|"false"|"false"|"false"
"286"|"10508"|"Стоматолога-терапевта кабинет врача"|"false"|"false"|"false"
"285"|"10508"|"Стаматолога-протезиста кабинет"|"false"|"false"|"false"
"284"|"2000"|"Стоматолога-ортопеда кабинет"|"true"|"false"|"false"
"283"|"10508"|"Статистики в составе оргметодотдела отделение"|"false"|"false"|"false"
"282"|"10508"|"Медицинской статистики и учета кабинет"|"false"|"false"|"false"
"281"|"10508"|"Спортивной медицины отделение (кабинет)"|"false"|"false"|"false"
"280"|"10508"|"Социально-правовой отдел"|"false"|"false"|"false"
"279"|"10508"|"Сосудистой хирургии отделение"|"false"|"false"|"false"
"278"|"10508"|"Смотровой женский кабинет"|"false"|"false"|"false"
"277"|"10508"|"Слухопротезирования кабинет"|"false"|"false"|"false"
"276"|"10508"|"Служба медицинской газов"|"false"|"false"|"false"
"275"|"10508"|"Скорой и неотложной медицинской помощи отделение"|"false"|"false"|"false"
"274"|"10508"|"Склад"|"false"|"false"|"false"
"273"|"10508"|"Серологическая лаборатория"|"false"|"false"|"false"
"272"|"2000"|"Сексолога кабинет врача"|"true"|"false"|"false"
"271"|"10508"|"Сауна с контрасными ваннами"|"false"|"false"|"false"
"270"|"10508"|"Родовое физиологическое отделение"|"false"|"false"|"false"
"269"|"10508"|"Рефлексотерапии отделение"|"false"|"false"|"false"
"268"|"10508"|"Ренгеновское отделение"|"false"|"false"|"false"
"267"|"3000"|"Рентгеновский кабинет"|"true"|"true"|"false"
"266"|"10508"|"реконструктивной и пластической хирургии отделение"|"false"|"false"|"false"
"265"|"10508"|"Регистратура"|"false"|"false"|"false"
"264"|"10508"|"Ревматологическое отделение для детей"|"false"|"false"|"false"
"263"|"10508"|"Ревматологическое отделение для взрослых"|"false"|"false"|"false"
"262"|"10508"|"Ревматологическое отделение"|"false"|"false"|"false"
"261"|"10508"|"Ревматолога кабинет врача"|"false"|"false"|"false"
"260"|"10508"|"Реанимации и интенсивной терапии новорожденных с экспресс-лабораторией"|"false"|"false"|"false"
"259"|"10508"|"Ребилитационный кабинет, оборудованный бытовыми предметами"|"false"|"false"|"false"
