ID|PARENT_ID|S_NAME|IS_ACTIVE|without_cot|allowed_site
"10104"|"3000"|"УЗИ"|"true"|"false"|"false"
"10103"|"3000"|"Консультативно-диагностической помощи"|"true"|"false"|"false"
"10102"|"3000"|"Пункты медицинской помощи на дому"|"true"|"false"|"false"
"10101"|"3000"|"Гемосорбции"|"true"|"false"|"false"
"10100"|"3000"|"Гемодиализа"|"true"|"false"|"false"
"10099"|"3000"|"Иглорефлексотерапии"|"true"|"false"|"false"
"10098"|"3000"|"Физиотерапевтические"|"true"|"false"|"false"
"10097"|"3000"|"Патологоанатомические"|"true"|"false"|"false"
"10096"|"3000"|"Биохимические лаборатории"|"true"|"false"|"false"
"10095"|"3000"|"Серологические (иммунологические) лаборатории"|"true"|"false"|"false"
"10094"|"3000"|"Бактериологические (микробилогические) лаборатории"|"true"|"false"|"false"
"10093"|"3000"|"Клинико-диагностические лаборатории"|"true"|"false"|"false"
"10092"|"3000"|"Функциональной диагностики и кардиографии"|"true"|"false"|"false"
"10091"|"3000"|"Лаборатории радиоизотопной диагностики"|"true"|"false"|"false"
"10090"|"3000"|"Радиологические (лучевой терапии)"|"true"|"false"|"false"
"10089"|"3000"|"Флюорографические"|"true"|"false"|"false"
"10088"|"3000"|"Рентгенологические"|"true"|"false"|"false"
"10086"|"2000"|"Дневного стационара"|"true"|"false"|"false"
"10085"|"2000"|"Врачей общей практики"|"true"|"false"|"true"
"10084"|"2000"|"Восстановительного лечения"|"true"|"false"|"false"
"10083"|"2000"|"Дермато-венерологические"|"true"|"false"|"false"
"10082"|"2000"|"Наркологические"|"true"|"false"|"false"
"10081"|"2000"|"Психиатрические"|"true"|"false"|"false"
"10080"|"2000"|"Неврологические"|"true"|"false"|"false"
"10079"|"2000"|"Фтизиатрические"|"true"|"false"|"false"
"10078"|"2000"|"Сурдологические"|"true"|"false"|"false"
"10077"|"2000"|"Отоларингологические"|"true"|"false"|"false"
"10076"|"2000"|"Офтальмологические"|"true"|"false"|"false"
"10075"|"2000"|"Детские поликлиники"|"true"|"false"|"false"
"10074"|"2000"|"По медицинской генетике"|"true"|"false"|"false"
"10073"|"2000"|"Центры планирования семьи и репродукции"|"true"|"false"|"false"
"10072"|"2000"|"Смотровые"|"true"|"false"|"false"
"10071"|"2000"|"Акушерско-гинекологические"|"true"|"false"|"false"
"10070"|"2000"|"Женские консультации"|"true"|"false"|"false"
"10069"|"2000"|"Зубопротезные"|"true"|"false"|"false"
"10068"|"2000"|"Стоматологические (зубоврачебные)"|"true"|"false"|"false"
"10067"|"2000"|"Онкологические"|"true"|"false"|"false"
"10066"|"2000"|"Урологические"|"true"|"false"|"false"
